"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 19 02:29:29 UTC 2023","Sun Nov 19 02:29:54 UTC 2023","24562","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sun Nov 19 02:53:55 UTC 2023","Sun Nov 19 02:54:00 UTC 2023","4507","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sun Nov 19 04:14:25 UTC 2023","Sun Nov 19 04:14:26 UTC 2023","1561","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sun Nov 19 02:51:44 UTC 2023","Sun Nov 19 02:51:45 UTC 2023","381","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Nov 19 03:59:34 UTC 2023","Sun Nov 19 03:59:36 UTC 2023","2679","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sun Nov 19 02:45:14 UTC 2023","Sun Nov 19 02:45:21 UTC 2023","6805","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Nov 19 04:12:07 UTC 2023","Sun Nov 19 04:12:31 UTC 2023","24615","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Sun Nov 19 02:44:24 UTC 2023","Sun Nov 19 02:44:41 UTC 2023","16900","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Nov 19 02:50:41 UTC 2023","Sun Nov 19 02:50:49 UTC 2023","7823","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sun Nov 19 02:40:05 UTC 2023","Sun Nov 19 02:40:21 UTC 2023","15728","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Nov 19 03:59:37 UTC 2023","Sun Nov 19 03:59:38 UTC 2023","845","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sun Nov 19 04:13:03 UTC 2023","Sun Nov 19 04:13:06 UTC 2023","2924","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Sun Nov 19 02:28:47 UTC 2023","Sun Nov 19 02:29:05 UTC 2023","18320","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Nov 19 02:53:44 UTC 2023","Sun Nov 19 02:53:55 UTC 2023","11106","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sun Nov 19 04:14:12 UTC 2023","Sun Nov 19 04:14:17 UTC 2023","4700","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Sun Nov 19 03:57:29 UTC 2023","Sun Nov 19 03:57:33 UTC 2023","4230","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sun Nov 19 02:47:36 UTC 2023","Sun Nov 19 02:47:40 UTC 2023","3555","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Nov 19 02:32:56 UTC 2023","Sun Nov 19 02:33:56 UTC 2023","59101","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sun Nov 19 03:57:17 UTC 2023","Sun Nov 19 03:57:27 UTC 2023","9563","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Nov 19 02:50:49 UTC 2023","Sun Nov 19 02:50:54 UTC 2023","4978","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Nov 19 04:01:13 UTC 2023","Sun Nov 19 04:01:32 UTC 2023","18301","","21. Forgot password function","","","","2. Reset password",""
"passed","Sun Nov 19 02:48:34 UTC 2023","Sun Nov 19 02:48:37 UTC 2023","3276","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sun Nov 19 03:25:04 UTC 2023","Sun Nov 19 03:25:06 UTC 2023","1625","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sun Nov 19 02:44:48 UTC 2023","Sun Nov 19 02:44:53 UTC 2023","5677","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Nov 19 02:54:23 UTC 2023","Sun Nov 19 02:54:26 UTC 2023","3099","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Nov 19 02:51:22 UTC 2023","Sun Nov 19 02:51:42 UTC 2023","20429","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sun Nov 19 02:42:45 UTC 2023","Sun Nov 19 02:42:45 UTC 2023","391","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Nov 19 02:36:55 UTC 2023","Sun Nov 19 02:37:02 UTC 2023","7282","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sun Nov 19 02:40:58 UTC 2023","Sun Nov 19 02:41:06 UTC 2023","7635","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Nov 19 02:44:53 UTC 2023","Sun Nov 19 02:45:14 UTC 2023","20586","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Nov 19 03:59:36 UTC 2023","Sun Nov 19 03:59:37 UTC 2023","952","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sun Nov 19 02:40:21 UTC 2023","Sun Nov 19 02:40:29 UTC 2023","8265","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sun Nov 19 04:15:03 UTC 2023","Sun Nov 19 04:16:03 UTC 2023","59782","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
